,Region,Gender,Marriage,SupportParty,confidence_level,Religon,Nationity,Color,year
113,East_of_England,Female,Widowed,Conservative,0,No_religion,British,BLACK,2018
114,East_Midlands,Male,Married,None,0,No_religion,British,BLACK,2018
115,North_West,Female,Married,Conservative,2,Other_Christian,English,BLACK,2018
116,South_East,Male,Not_married,Liberal_Democrat,1,No_religion,British,BLACK,2018
118,East_Midlands,Female,Separated_after_marrying,Labour,1,Church_of_England,English,BLACK,2018
119,North_East,Male,Not_married,Labour,2,No_religion,English,BLACK,2018
120,South_East,Female,Living_as_married,Conservative,2,Other_Christian,English,BLACK,2018
121,North_West,Male,Not_married,Conservative,2,Church_of_England,English,BLACK,2018
123,East_of_England,Male,Not_married,Labour,1,No_religion,English,BLACK,2018
124,North_West,Female,Not_married,None,0,Non_Christian,British,BLACK,2018
127,Wales,Female,Separated_after_marrying,UKIP,2,No_religion,Welsh,BLACK,2018
129,London,Female,Not_married,Conservative,1,No_religion,British,BLACK,2018
130,South_West,Male,Separated_after_marrying,Liberal_Democrat,1,No_religion,British,BLACK,2018
132,North_East,Female,Married,Green_Party,2,Roman_Catholic,English,BLACK,2018
133,Scotland,Male,Separated_after_marrying,None,1,Roman_Catholic,Scottish,BLACK,2018
136,South_East,Female,Married,Liberal_Democrat,0,Other_Christian,English,BLACK,2018
137,East_of_England,Female,Married,Liberal_Democrat,2,No_religion,European,BLACK,2018
138,London,Male,Not_married,Green_Party,0,Other_Christian,Other,BLACK,2018
139,South_East,Female,Living_as_married,Conservative,0,No_religion,British,BLACK,2018
140,North_West,Female,Married,Labour,2,Other_Christian,British,BLACK,2018
142,North_East,Male,Married,None,0,No_religion,British,BLACK,2018
143,London,Male,Not_married,Labour,0,Non_Christian,British,BLACK,2018
144,Scotland,Female,Widowed,Labour,0,No_religion,Scottish,BLACK,2018
145,South_West,Female,Not_married,None,0,Church_of_England,English,BLACK,2018
146,South_East,Female,Not_married,Labour,2,No_religion,British,BLACK,2018
148,South_West,Male,Living_as_married,Labour,0,No_religion,British,BLACK,2018
149,Yorkshire_and_The_Humber,Female,Married,Labour,2,No_religion,British,BLACK,2018
150,South_East,Female,Separated_after_marrying,Liberal_Democrat,2,Other_Christian,European,BLACK,2018
151,South_East,Male,Separated_after_marrying,Conservative,1,Other_Christian,British,ASIAN,2018
152,South_East,Male,Married,None,2,No_religion,British,BLACK,2018
154,East_Midlands,Male,Living_as_married,Conservative,0,No_religion,English,BLACK,2018
155,Yorkshire_and_The_Humber,Male,Married,None,2,No_religion,British,BLACK,2018
157,London,Male,Not_married,Green_Party,0,No_religion,English,BLACK,2018
158,East_of_England,Male,Married,Conservative,2,Church_of_England,British,BLACK,2018
159,South_East,Female,Married,Conservative,0,Church_of_England,British,BLACK,2018
164,West_Midlands,Male,Married,Liberal_Democrat,1,Non_Christian,British,BLACK,2018
165,Scotland,Female,Not_married,Scottish_National_Party,0,No_religion,Scottish,BLACK,2018
166,East_Midlands,Female,Widowed,UKIP,0,No_religion,British,BLACK,2018
167,Yorkshire_and_The_Humber,Female,Married,Conservative,0,Other_Christian,English,BLACK,2018
169,South_East,Male,Married,Labour,0,Roman_Catholic,British,BLACK,2018
170,London,Female,Not_married,Labour,2,No_religion,British,ASIAN,2018
171,Yorkshire_and_The_Humber,Female,Married,None,2,No_religion,British,BLACK,2018
172,Yorkshire_and_The_Humber,Male,Separated_after_marrying,Labour,2,No_religion,English,BLACK,2018
175,East_of_England,Female,Widowed,None,2,Roman_Catholic,English,BLACK,2018
176,South_East,Female,Married,Labour,2,Non_Christian,British,BLACK,2018
177,South_East,Male,Living_as_married,Conservative,2,No_religion,English,BLACK,2018
178,East_of_England,Male,Married,Conservative,2,Church_of_England,English,BLACK,2018
179,North_West,Female,Separated_after_marrying,None,2,Other_Christian,Other,BLACK,2018
180,Yorkshire_and_The_Humber,Male,Married,other,0,Church_of_England,English,BLACK,2018
181,South_East,Male,Married,Labour,1,No_religion,English,BLACK,2018
183,West_Midlands,Male,Married,Conservative,2,Other_Christian,British,BLACK,2018
184,London,Male,Married,other,2,No_religion,European,BLACK,2018
187,North_East,Female,Separated_after_marrying,Labour,2,No_religion,British,BLACK,2018
189,Scotland,Female,Married,Conservative,2,No_religion,Scottish,BLACK,2018
190,South_West,Male,Widowed,Liberal_Democrat,2,No_religion,English,BLACK,2018
192,North_East,Female,Living_as_married,Labour,2,No_religion,British,BLACK,2018
193,Scotland,Male,Married,Conservative,2,No_religion,Scottish,BLACK,2018
194,South_West,Female,Married,Conservative,2,Roman_Catholic,Other,BLACK,2018
196,South_East,Female,Married,Liberal_Democrat,0,Church_of_England,British,BLACK,2018
197,North_West,Female,Married,Conservative,2,No_religion,English,BLACK,2018
198,Yorkshire_and_The_Humber,Female,Separated_after_marrying,None,2,Roman_Catholic,British,BLACK,2018
199,South_West,Female,Married,Conservative,2,No_religion,European,BLACK,2018
200,South_East,Female,Not_married,Green_Party,2,Non_Christian,British,BLACK,2018
201,East_of_England,Male,Married,Conservative,2,Roman_Catholic,English,BLACK,2018
205,Yorkshire_and_The_Humber,Female,Separated_after_marrying,Labour,2,No_religion,British,BLACK,2018
206,East_Midlands,Female,Widowed,Labour,2,No_religion,English,BLACK,2018
207,South_East,Male,Married,Green_Party,2,Non_Christian,British,BLACK,2018
209,Yorkshire_and_The_Humber,Male,Married,Labour,2,Non_Christian,British,BLACK,2018
211,South_West,Male,Not_married,None,2,No_religion,Other,ASIAN,2018
212,North_West,Male,Living_as_married,Labour,0,No_religion,English,BLACK,2018
214,Yorkshire_and_The_Humber,Female,Separated_after_marrying,None,1,No_religion,British,BLACK,2018
215,North_West,Male,Married,Labour,1,No_religion,British,BLACK,2018
216,South_East,Male,Married,Labour,0,No_religion,English,BLACK,2018
220,East_of_England,Male,Married,Conservative,2,Church_of_England,English,BLACK,2018
222,Scotland,Male,Married,Labour,2,Non_Christian,Other,BLACK,2018
224,East_of_England,Female,Widowed,Conservative,1,No_religion,English,BLACK,2018
227,North_West,Male,Not_married,None,0,No_religion,English,BLACK,2018
228,South_West,Male,Married,Liberal_Democrat,0,Church_of_England,British,BLACK,2018
230,Scotland,Male,Separated_after_marrying,Green_Party,0,No_religion,Scottish,BLACK,2018
231,Scotland,Female,Married,None,2,Non_Christian,Scottish,BLACK,2018
232,North_West,Male,Separated_after_marrying,Conservative,2,Roman_Catholic,English,BLACK,2018
233,South_East,Female,Married,Conservative,2,No_religion,British,BLACK,2018
234,South_West,Male,Living_as_married,UKIP,2,No_religion,English,BLACK,2018
235,East_of_England,Female,Not_married,None,2,No_religion,English,BLACK,2018
236,Scotland,Male,Living_as_married,Labour,0,No_religion,Scottish,BLACK,2018
237,Scotland,Male,Not_married,Labour,2,No_religion,British,BLACK,2018
238,East_Midlands,Male,Married,Conservative,2,Church_of_England,Other,BLACK,2018
239,Yorkshire_and_The_Humber,Female,Married,Labour,0,No_religion,British,BLACK,2018
240,London,Male,Living_as_married,Labour,2,No_religion,English,BLACK,2018
241,East_Midlands,Female,Married,None,2,No_religion,British,BLACK,2018
244,North_West,Female,Separated_after_marrying,Conservative,2,Church_of_England,British,BLACK,2018
246,London,Male,Married,Liberal_Democrat,1,Other_Christian,Scottish,BLACK,2018
247,North_West,Male,Married,Labour,0,No_religion,British,BLACK,2018
248,Scotland,Male,Living_as_married,Labour,2,Church_of_England,British,BLACK,2018
249,Wales,Male,Married,Conservative,0,No_religion,British,BLACK,2018
250,Scotland,Male,Living_as_married,Labour,2,No_religion,Scottish,BLACK,2018
251,East_Midlands,Female,Separated_after_marrying,None,0,No_religion,British,BLACK,2018
253,London,Female,Not_married,Labour,0,Other_Christian,British,BLACK,2018
255,South_East,Male,Not_married,Conservative,2,No_religion,European,BLACK,2018
256,East_Midlands,Male,Living_as_married,Labour,2,No_religion,English,BLACK,2018
257,South_East,Female,Married,Liberal_Democrat,0,No_religion,European,BLACK,2018
258,South_East,Female,Married,Conservative,0,Church_of_England,British,BLACK,2018
259,Yorkshire_and_The_Humber,Male,Separated_after_marrying,Conservative,2,Other_Christian,Other,BLACK,2018
260,South_East,Female,Married,Liberal_Democrat,0,Roman_Catholic,European,BLACK,2018
261,East_Midlands,Male,Married,Labour,2,No_religion,British,BLACK,2018
262,West_Midlands,Female,Married,Labour,0,Non_Christian,English,BLACK,2018
263,South_East,Female,Separated_after_marrying,None,0,No_religion,British,BLACK,2018
265,London,Female,Not_married,None,2,No_religion,British,BLACK,2018
266,North_West,Male,Married,Labour,2,Non_Christian,British,BLACK,2018
267,South_East,Male,Married,Conservative,2,No_religion,British,BLACK,2018
268,South_West,Male,Widowed,None,2,No_religion,English,BLACK,2018
269,Scotland,Male,Married,Scottish_National_Party,0,Other_Christian,Scottish,BLACK,2018
270,South_West,Female,Widowed,Conservative,1,Other_Christian,Other,BLACK,2018
271,East_of_England,Male,Not_married,Labour,2,No_religion,British,BLACK,2018
272,Yorkshire_and_The_Humber,Male,Married,Conservative,0,Other_Christian,British,BLACK,2018
273,South_West,Female,Married,Conservative,1,Church_of_England,British,BLACK,2018
274,East_Midlands,Female,Married,Conservative,2,Other_Christian,English,BLACK,2018
275,London,Male,Separated_after_marrying,Green_Party,0,Roman_Catholic,European,BLACK,2018
276,Yorkshire_and_The_Humber,Female,Married,Conservative,1,Roman_Catholic,British,BLACK,2018
277,South_East,Female,Married,Conservative,2,No_religion,British,BLACK,2018
278,North_West,Female,Married,Labour,2,Church_of_England,English,BLACK,2018
280,East_of_England,Male,Not_married,Labour,0,No_religion,English,BLACK,2018
281,Yorkshire_and_The_Humber,Female,Living_as_married,Labour,0,Other_Christian,British,BLACK,2018
283,Yorkshire_and_The_Humber,Female,Married,Labour,0,Roman_Catholic,British,BLACK,2018
284,South_West,Female,Not_married,Labour,0,No_religion,British,BLACK,2018
285,London,Male,Married,Conservative,2,Roman_Catholic,British,BLACK,2018
287,Wales,Female,Married,Labour,2,Roman_Catholic,Welsh,BLACK,2018
291,Yorkshire_and_The_Humber,Male,Married,None,0,Other_Christian,English,BLACK,2018
292,North_West,Male,Living_as_married,None,0,No_religion,British,BLACK,2018
294,East_Midlands,Male,Married,Labour,2,No_religion,British,BLACK,2018
295,Wales,Male,Living_as_married,Plaid_Cymru,2,No_religion,Welsh,BLACK,2018
297,London,Female,Not_married,Labour,2,Non_Christian,British,BLACK,2018
298,South_West,Male,Not_married,Conservative,2,Other_Christian,English,BLACK,2018
299,Yorkshire_and_The_Humber,Male,Married,Labour,2,Non_Christian,British,BLACK,2018
300,South_West,Female,Separated_after_marrying,Conservative,2,No_religion,British,BLACK,2018
301,Yorkshire_and_The_Humber,Male,Married,None,0,Church_of_England,British,BLACK,2018
302,Yorkshire_and_The_Humber,Male,Separated_after_marrying,Labour,0,Non_Christian,Other,BLACK,2018
303,Scotland,Male,Married,Scottish_National_Party,2,Roman_Catholic,European,BLACK,2018
306,Wales,Male,Married,Conservative,2,No_religion,British,BLACK,2018
307,Scotland,Female,Married,other,2,Non_Christian,Other,BLACK,2018
308,North_East,Female,Married,Labour,0,No_religion,British,BLACK,2018
310,South_East,Female,Married,Conservative,0,No_religion,Other,BLACK,2018
312,North_East,Female,Not_married,None,1,No_religion,British,BLACK,2018
313,East_Midlands,Male,Married,Conservative,2,No_religion,English,BLACK,2018
314,Scotland,Male,Married,None,0,No_religion,Scottish,BLACK,2018
316,Scotland,Female,Living_as_married,Conservative,2,Church_of_England,Scottish,BLACK,2018
317,North_East,Female,Widowed,Labour,2,No_religion,British,BLACK,2018
318,North_East,Male,Not_married,None,0,No_religion,British,BLACK,2018
319,Yorkshire_and_The_Humber,Female,Not_married,Labour,0,No_religion,English,ASIAN,2018
320,South_East,Male,Married,Liberal_Democrat,2,Other_Christian,British,BLACK,2018
321,South_West,Female,Married,Conservative,0,No_religion,English,BLACK,2018
323,East_Midlands,Male,Not_married,Conservative,0,Church_of_England,English,BLACK,2018
325,South_East,Male,Married,Labour,0,No_religion,British,BLACK,2018
326,North_West,Female,Widowed,Labour,0,No_religion,English,BLACK,2018
327,South_East,Female,Living_as_married,Labour,0,No_religion,British,BLACK,2018
328,South_East,Male,Married,Conservative,2,Other_Christian,British,BLACK,2018
329,West_Midlands,Male,Widowed,Labour,2,Church_of_England,English,BLACK,2018
330,North_West,Female,Separated_after_marrying,Conservative,0,Church_of_England,British,BLACK,2018
331,Scotland,Female,Married,Labour,2,Roman_Catholic,Scottish,BLACK,2018
332,West_Midlands,Female,Not_married,other,2,Other_Christian,English,BLACK,2018
333,East_Midlands,Female,Married,Labour,0,No_religion,British,BLACK,2018
334,East_Midlands,Female,Not_married,Labour,2,No_religion,British,BLACK,2018
335,North_East,Male,Living_as_married,UKIP,2,No_religion,English,BLACK,2018
336,North_West,Male,Married,None,0,No_religion,English,BLACK,2018
337,South_West,Male,Married,Conservative,1,No_religion,British,BLACK,2018
340,Scotland,Male,Married,Conservative,2,Other_Christian,Scottish,BLACK,2018
341,North_West,Female,Married,Conservative,1,Other_Christian,British,BLACK,2018
342,East_of_England,Female,Living_as_married,Conservative,2,No_religion,British,BLACK,2018
343,East_Midlands,Female,Married,UKIP,1,Church_of_England,English,BLACK,2018
344,West_Midlands,Female,Married,Conservative,2,No_religion,British,BLACK,2018
345,Wales,Female,Widowed,Labour,2,Church_of_England,Welsh,BLACK,2018
346,East_Midlands,Female,Living_as_married,Labour,2,No_religion,English,BLACK,2018
350,East_of_England,Male,Married,Liberal_Democrat,1,No_religion,Other,BLACK,2018
351,Yorkshire_and_The_Humber,Female,Separated_after_marrying,Labour,0,Non_Christian,British,BLACK,2018
354,Wales,Male,Married,None,2,No_religion,Welsh,BLACK,2018
355,London,Male,Married,Conservative,0,No_religion,English,BLACK,2018
356,London,Male,Not_married,Labour,0,No_religion,British,BLACK,2018
357,South_West,Female,Not_married,Labour,0,No_religion,British,BLACK,2018
359,North_West,Male,Not_married,Labour,1,No_religion,British,BLACK,2018
361,East_Midlands,Female,Widowed,Conservative,2,Other_Christian,British,BLACK,2018
362,South_East,Female,Separated_after_marrying,Labour,1,No_religion,English,BLACK,2018
363,London,Female,Separated_after_marrying,Labour,2,No_religion,British,BLACK,2018
364,North_West,Female,Married,Labour,2,Other_Christian,British,BLACK,2018
365,North_West,Male,Married,Labour,2,Non_Christian,British,BLACK,2018
366,Yorkshire_and_The_Humber,Male,Married,Conservative,2,No_religion,British,BLACK,2018
367,Scotland,Female,Not_married,Liberal_Democrat,2,Roman_Catholic,European,BLACK,2018
368,East_of_England,Female,Separated_after_marrying,Labour,1,Roman_Catholic,Other,BLACK,2018
369,Yorkshire_and_The_Humber,Male,Married,None,2,Other_Christian,English,BLACK,2018
370,Yorkshire_and_The_Humber,Female,Married,Labour,2,Non_Christian,Other,BLACK,2018
373,North_West,Male,Separated_after_marrying,Liberal_Democrat,0,No_religion,English,BLACK,2018
374,West_Midlands,Female,Not_married,Conservative,2,Other_Christian,British,BLACK,2018
376,Scotland,Female,Widowed,Labour,0,No_religion,British,BLACK,2018
377,South_East,Male,Living_as_married,None,2,No_religion,English,BLACK,2018
378,London,Male,Not_married,Labour,2,Other_Christian,British,BLACK,2018
379,East_of_England,Male,Married,Conservative,2,No_religion,English,BLACK,2018
381,Wales,Female,Married,Conservative,1,No_religion,British,BLACK,2018
382,South_West,Female,Married,Conservative,2,Church_of_England,English,BLACK,2018
384,North_East,Female,Widowed,None,0,Church_of_England,English,BLACK,2018
386,North_West,Male,Not_married,None,2,Roman_Catholic,British,BLACK,2018
388,London,Male,Married,Labour,1,Non_Christian,British,BLACK,2018
390,North_West,Female,Married,Conservative,2,Roman_Catholic,British,BLACK,2018
391,West_Midlands,Male,Married,Conservative,2,No_religion,English,BLACK,2018
396,West_Midlands,Male,Not_married,Conservative,2,No_religion,English,BLACK,2018
398,West_Midlands,Female,Widowed,None,0,Other_Christian,British,BLACK,2018
399,North_West,Female,Separated_after_marrying,Labour,1,No_religion,British,BLACK,2018
400,London,Male,Married,Conservative,0,No_religion,British,BLACK,2018
401,South_West,Female,Married,None,1,Non_Christian,Other,BLACK,2018
402,Yorkshire_and_The_Humber,Female,Married,Labour,2,Non_Christian,Other,BLACK,2018
404,East_of_England,Female,Married,Conservative,1,Other_Christian,English,BLACK,2018
406,North_East,Female,Separated_after_marrying,Labour,1,No_religion,British,BLACK,2018
407,East_of_England,Male,Married,Conservative,2,No_religion,British,BLACK,2018
408,West_Midlands,Female,Separated_after_marrying,None,2,No_religion,English,ASIAN,2018
412,North_East,Female,Married,Conservative,2,No_religion,English,BLACK,2018
415,East_of_England,Female,Living_as_married,Labour,2,No_religion,British,BLACK,2018
416,East_of_England,Male,Married,Labour,2,Church_of_England,English,BLACK,2018
418,North_West,Female,Married,Labour,2,Church_of_England,British,BLACK,2018
420,North_East,Male,Married,Labour,0,Non_Christian,Other,BLACK,2018
421,East_Midlands,Male,Married,Labour,0,No_religion,British,BLACK,2018
423,South_East,Female,Separated_after_marrying,Conservative,0,Church_of_England,British,BLACK,2018
424,Yorkshire_and_The_Humber,Female,Married,Conservative,2,Church_of_England,English,BLACK,2018
425,Scotland,Female,Married,Scottish_National_Party,0,Roman_Catholic,Scottish,BLACK,2018
426,East_of_England,Female,Separated_after_marrying,Conservative,2,Church_of_England,English,BLACK,2018
427,London,Female,Not_married,Labour,1,Non_Christian,Other,BLACK,2018
428,East_of_England,Female,Married,None,2,No_religion,English,BLACK,2018
429,Scotland,Male,Living_as_married,None,2,No_religion,Scottish,BLACK,2018
431,West_Midlands,Female,Widowed,Labour,2,Church_of_England,English,BLACK,2018
432,Wales,Male,Widowed,Liberal_Democrat,1,No_religion,English,BLACK,2018
433,London,Male,Separated_after_marrying,Labour,1,Other_Christian,British,BLACK,2018
435,Scotland,Male,Married,Scottish_National_Party,2,No_religion,Scottish,BLACK,2018
437,East_of_England,Female,Not_married,Conservative,2,No_religion,British,BLACK,2018
438,West_Midlands,Female,Not_married,Labour,2,Church_of_England,English,BLACK,2018
439,Yorkshire_and_The_Humber,Male,Not_married,Labour,2,No_religion,British,BLACK,2018
440,Yorkshire_and_The_Humber,Female,Not_married,Labour,0,No_religion,English,BLACK,2018
442,North_West,Female,Separated_after_marrying,Labour,2,Church_of_England,British,BLACK,2018
443,South_East,Male,Not_married,Labour,0,Non_Christian,British,BLACK,2018
444,Scotland,Male,Married,Conservative,0,Other_Christian,Other,BLACK,2018
445,West_Midlands,Male,Married,None,1,No_religion,English,BLACK,2018
446,East_Midlands,Male,Widowed,Labour,2,No_religion,English,BLACK,2018
447,North_East,Female,Living_as_married,Labour,2,No_religion,British,BLACK,2018
448,Yorkshire_and_The_Humber,Female,Married,Labour,0,No_religion,English,BLACK,2018
450,London,Male,Not_married,Labour,2,Non_Christian,British,BLACK,2018
451,East_of_England,Male,Married,Labour,2,Other_Christian,British,BLACK,2018
452,South_West,Female,Separated_after_marrying,Liberal_Democrat,0,No_religion,English,BLACK,2018
453,Scotland,Male,Married,None,2,No_religion,Scottish,BLACK,2018
454,Yorkshire_and_The_Humber,Male,Not_married,Labour,1,Church_of_England,English,BLACK,2018
456,North_West,Female,Married,Labour,2,Roman_Catholic,European,BLACK,2018
458,South_East,Male,Not_married,UKIP,2,No_religion,English,BLACK,2018
459,North_West,Male,Married,None,2,Other_Christian,English,BLACK,2018
460,South_East,Male,Living_as_married,Labour,1,Other_Christian,British,BLACK,2018
462,North_West,Female,Not_married,Labour,0,Roman_Catholic,English,BLACK,2018
463,North_East,Female,Widowed,Conservative,0,No_religion,English,BLACK,2018
464,North_West,Male,Married,Conservative,2,Other_Christian,English,BLACK,2018
465,Yorkshire_and_The_Humber,Female,Living_as_married,Labour,2,Church_of_England,English,BLACK,2018
466,West_Midlands,Male,Not_married,Liberal_Democrat,0,No_religion,English,BLACK,2018
467,East_of_England,Male,Married,Conservative,1,Church_of_England,British,BLACK,2018
468,North_West,Male,Widowed,Conservative,2,No_religion,British,BLACK,2018
469,South_East,Female,Separated_after_marrying,Liberal_Democrat,2,Roman_Catholic,British,BLACK,2018
470,Scotland,Male,Not_married,None,2,No_religion,British,BLACK,2018
471,London,Female,Married,Green_Party,2,Non_Christian,British,BLACK,2018
472,North_West,Female,Living_as_married,Labour,0,No_religion,British,BLACK,2018
474,South_West,Female,Widowed,Conservative,0,Church_of_England,English,BLACK,2018
475,East_of_England,Female,Married,Labour,2,Other_Christian,English,BLACK,2018
476,North_West,Male,Married,Labour,0,No_religion,British,BLACK,2018
477,East_Midlands,Female,Separated_after_marrying,Labour,2,Other_Christian,British,BLACK,2018
478,East_Midlands,Female,Married,Conservative,2,Church_of_England,English,BLACK,2018
479,North_East,Male,Separated_after_marrying,Conservative,2,Roman_Catholic,British,BLACK,2018
480,Yorkshire_and_The_Humber,Male,Married,Conservative,2,Other_Christian,English,BLACK,2018
481,Scotland,Male,Not_married,Scottish_National_Party,2,Other_Christian,Scottish,BLACK,2018
482,Yorkshire_and_The_Humber,Male,Widowed,None,2,Church_of_England,British,BLACK,2018
484,South_East,Female,Married,Conservative,0,No_religion,British,BLACK,2018
485,South_East,Female,Married,Conservative,1,Other_Christian,British,BLACK,2018
486,Yorkshire_and_The_Humber,Female,Married,None,0,Church_of_England,British,BLACK,2018
487,South_West,Female,Married,Conservative,0,No_religion,British,BLACK,2018
488,Wales,Male,Separated_after_marrying,Labour,2,No_religion,Welsh,BLACK,2018
489,West_Midlands,Male,Not_married,Conservative,2,No_religion,English,BLACK,2018
