,Region,Gender,Family,Political,confidence_level,Religon,Nationity,Color,year,AgeGroup,Age,GP_Sources,GP_Sources_Level
24,East_of_England,Male,Married,Conservative,Against,Church_of_England,British,BLACK: of other origin,2018,46-65,60,17.699,0
25,North_West,Female,Separated_after_marrying,Conservative,For,Church_of_England,British,BLACK: of other origin,2018,46-65,47,26.534,1
26,South_East,Male,Not_married,None,For,Other_Christian,English,BLACK: of other origin,2018,26-45,27,20.383,0
27,North_West,Male,Married,Conservative,For,Other_Christian,British,ASIAN: of Indian origin,2018,Above65,70,26.534,1
29,South_West,Female,Not_married,Conservative,Against,Other_Christian,British,BLACK: of other origin,2018,26-45,40,17.373,0
30,North_East,Female,Widowed,None,For,Other_Christian,British,BLACK: of other origin,2018,46-65,56,27.062,1
31,South_West,Female,Separated_after_marrying,None,Against,Other_Christian,British,BLACK: of other origin,2018,46-65,51,17.373,0
32,South_West,Female,Widowed,Conservative,For,Church_of_England,British,BLACK: of other origin,2018,Above65,75,17.373,0
36,South_East,Male,Widowed,Conservative,Against,No_religion,English,BLACK: of other origin,2018,Above65,90,20.383,0
37,North_West,Female,Widowed,Labour,Neither,Church_of_England,British,BLACK: of other origin,2018,Above65,73,26.534,1
38,West_Midlands,Female,Not_married,None,For,No_religion,British,BLACK: of other origin,2018,26-45,31,22.106,0
40,West_Midlands,Female,Widowed,Conservative,Neither,Church_of_England,British,BLACK: of other origin,2018,Above65,78,22.106,0
41,Wales,Male,Not_married,Labour,For,Non_Christian,Other,BLACK: of Caribbean origin,2018,18-25,23,25.188,1
43,East_of_England,Female,Separated_after_marrying,Conservative,For,Other_Christian,English,BLACK: of other origin,2018,Above65,70,17.699,0
44,North_West,Female,Married,Conservative,For,Church_of_England,British,BLACK: of other origin,2018,Above65,69,26.534,1
45,North_West,Male,Married,Labour,Neither,Non_Christian,British,BLACK: of Caribbean origin,2018,46-65,47,26.534,1
46,West_Midlands,Male,Married,Conservative,For,Church_of_England,English,BLACK: of other origin,2018,46-65,58,22.106,0
47,North_West,Male,Married,Conservative,For,No_religion,British,BLACK: of other origin,2018,46-65,65,26.534,1
48,Yorkshire_and_The_Humber,Female,Not_married,Conservative,For,Other_Christian,British,BLACK: of African origin,2018,46-65,57,23.363,1
49,South_West,Male,Married,None,Neither,No_religion,English,BLACK: of other origin,2018,46-65,47,17.373,0
50,London,Female,Married,Labour,Against,Non_Christian,British,BLACK: of Caribbean origin,2018,46-65,55,22.149,0
51,Wales,Female,Not_married,Regional_Parties,For,No_religion,Welsh,BLACK: of other origin,2018,26-45,38,25.188,1
55,North_West,Female,Living_as_married,Labour,For,No_religion,Other,BLACK: of other origin,2018,18-25,21,26.534,1
56,North_East,Female,Married,Conservative,For,Church_of_England,British,BLACK: of other origin,2018,46-65,63,27.062,1
57,South_West,Male,Married,Labour,Against,No_religion,British,BLACK: of other origin,2018,Above65,72,17.373,0
58,South_East,Female,Separated_after_marrying,Regional_Parties,Against,No_religion,European,BLACK: of other origin,2018,Above65,69,20.383,0
59,London,Female,Not_married,Labour,For,Other_Christian,British,BLACK: of other origin,2018,26-45,38,22.149,0
60,Scotland,Male,Widowed,Conservative,For,No_religion,Scottish,BLACK: of other origin,2018,Above65,90,25.729,1
62,Yorkshire_and_The_Humber,Female,Separated_after_marrying,Conservative,For,No_religion,British,BLACK: of other origin,2018,46-65,60,23.363,1
64,London,Female,Separated_after_marrying,Conservative,For,No_religion,British,BLACK: of other origin,2018,Above65,84,22.149,0
65,Yorkshire_and_The_Humber,Male,Separated_after_marrying,Conservative,For,No_religion,British,BLACK: of other origin,2018,46-65,51,23.363,1
66,South_West,Male,Married,Conservative,Neither,No_religion,English,BLACK: of other origin,2018,Above65,72,17.373,0
68,Wales,Female,Not_married,Labour,For,Other_Christian,British,BLACK: of other origin,2018,Above65,73,25.188,1
69,London,Female,Not_married,None,Against,No_religion,British,BLACK: of other origin,2018,46-65,48,22.149,0
70,North_East,Male,Married,Liberal_Democrat,For,No_religion,European,BLACK: of other origin,2018,46-65,63,27.062,1
71,South_West,Female,Not_married,Labour,Neither,No_religion,British,BLACK: of other origin,2018,46-65,54,17.373,0
73,London,Female,Married,Labour,For,Roman_Catholic,Other,BLACK: of other origin,2018,Above65,70,22.149,0
74,East_Midlands,Female,Separated_after_marrying,Conservative,For,No_religion,English,BLACK: of other origin,2018,26-45,36,20.295,0
75,North_East,Male,Married,None,For,No_religion,English,BLACK: of other origin,2018,Above65,73,27.062,1
76,East_Midlands,Female,Living_as_married,None,For,Roman_Catholic,English,BLACK: of other origin,2018,26-45,39,20.295,0
78,East_of_England,Male,Married,Labour,For,Other_Christian,None,BLACK: of African origin,2018,46-65,46,17.699,0
80,South_East,Male,Not_married,Conservative,For,No_religion,British,BLACK: of other origin,2018,18-25,23,20.383,0
82,Wales,Male,Married,Labour,For,No_religion,Welsh,BLACK: of other origin,2018,Above65,76,25.188,1
85,North_West,Female,Not_married,Labour,Against,Roman_Catholic,English,BLACK: of other origin,2018,26-45,33,26.534,1
88,East_of_England,Female,Widowed,Conservative,Against,Other_Christian,British,BLACK: of other origin,2018,Above65,71,17.699,0
89,East_Midlands,Female,Married,Labour,Against,Non_Christian,Other,BLACK: of Caribbean origin,2018,26-45,39,20.295,0
90,North_East,Male,Married,Conservative,For,Church_of_England,English,BLACK: of other origin,2018,46-65,55,27.062,1
91,Scotland,Male,Married,Conservative,Against,No_religion,British,BLACK: of other origin,2018,Above65,69,25.729,1
92,West_Midlands,Male,Married,Conservative,Against,No_religion,British,BLACK: of other origin,2018,46-65,56,22.106,0
93,Scotland,Male,Separated_after_marrying,Regional_Parties,For,No_religion,Scottish,BLACK: of other origin,2018,Above65,81,25.729,1
94,West_Midlands,Female,Separated_after_marrying,None,Neither,Church_of_England,British,BLACK: of other origin,2018,26-45,28,22.106,0
95,East_Midlands,Female,Married,Labour,Against,No_religion,English,BLACK: of other origin,2018,46-65,64,20.295,0
96,West_Midlands,Male,Separated_after_marrying,Conservative,Against,No_religion,English,BLACK: of other origin,2018,46-65,53,22.106,0
97,East_of_England,Female,Separated_after_marrying,None,Against,No_religion,Other,ASIAN: of Pakistani origin,2018,46-65,62,17.699,0
98,London,Female,Widowed,Conservative,For,Church_of_England,English,BLACK: of other origin,2018,Above65,79,22.149,0
99,London,Male,Not_married,Labour,Against,No_religion,British,BLACK: of other origin,2018,26-45,40,22.149,0
103,London,Female,Not_married,Labour,Against,Church_of_England,Other,BLACK: of other origin,2018,18-25,18,22.149,0
104,London,Male,Not_married,Labour,Against,No_religion,British,BLACK: of other origin,2018,18-25,23,22.149,0
105,London,Male,Separated_after_marrying,Conservative,For,No_religion,English,BLACK: of other origin,2018,46-65,57,22.149,0
106,East_of_England,Female,Living_as_married,None,For,No_religion,European,BLACK: of other origin,2018,26-45,43,17.699,0
107,South_West,Male,Married,Labour,For,Other_Christian,English,BLACK: of other origin,2018,46-65,62,17.373,0
108,East_Midlands,Male,Married,Conservative,Against,Non_Christian,None,ASIAN: of Pakistani origin,2018,26-45,38,20.295,0
109,Scotland,Female,Separated_after_marrying,Conservative,Neither,Other_Christian,Scottish,BLACK: of other origin,2018,Above65,73,25.729,1
111,Scotland,Female,Married,Labour,Against,No_religion,Scottish,BLACK: of other origin,2018,46-65,54,25.729,1
112,West_Midlands,Female,Separated_after_marrying,Other_Small_Parties,Neither,No_religion,British,ASIAN: of Pakistani origin,2018,Above65,71,22.106,0
113,East_of_England,Female,Widowed,Conservative,Against,No_religion,British,BLACK: of other origin,2018,Above65,77,17.699,0
114,East_Midlands,Male,Married,None,Against,No_religion,British,BLACK: of other origin,2018,46-65,55,20.295,0
115,North_West,Female,Married,Conservative,For,Other_Christian,English,BLACK: of other origin,2018,Above65,72,26.534,1
116,South_East,Male,Not_married,Liberal_Democrat,Neither,No_religion,British,BLACK: of other origin,2018,18-25,25,20.383,0
118,East_Midlands,Female,Separated_after_marrying,Labour,Neither,Church_of_England,English,BLACK: of other origin,2018,26-45,40,20.295,0
119,North_East,Male,Not_married,Labour,For,No_religion,English,BLACK: of other origin,2018,26-45,31,27.062,1
120,South_East,Female,Living_as_married,Conservative,For,Other_Christian,English,BLACK: of other origin,2018,46-65,51,20.383,0
121,North_West,Male,Not_married,Conservative,For,Church_of_England,English,BLACK: of other origin,2018,26-45,35,26.534,1
123,East_of_England,Male,Not_married,Labour,Neither,No_religion,English,BLACK: of other origin,2018,18-25,24,17.699,0
124,North_West,Female,Not_married,None,Against,Non_Christian,British,BLACK: of Caribbean origin,2018,26-45,38,26.534,1
127,Wales,Female,Separated_after_marrying,Other_Small_Parties,For,No_religion,Welsh,BLACK: of other origin,2018,46-65,56,25.188,1
129,London,Female,Not_married,Conservative,Neither,No_religion,British,BLACK: of other origin,2018,26-45,32,22.149,0
130,South_West,Male,Separated_after_marrying,Liberal_Democrat,Neither,No_religion,British,BLACK: of other origin,2018,46-65,51,17.373,0
132,North_East,Female,Married,Regional_Parties,For,Roman_Catholic,English,BLACK: of other origin,2018,46-65,48,27.062,1
133,Scotland,Male,Separated_after_marrying,None,Neither,Roman_Catholic,Scottish,BLACK: of other origin,2018,26-45,41,25.729,1
136,South_East,Female,Married,Liberal_Democrat,Against,Other_Christian,English,BLACK: of other origin,2018,Above65,71,20.383,0
137,East_of_England,Female,Married,Liberal_Democrat,For,No_religion,European,BLACK: of other origin,2018,26-45,42,17.699,0
138,London,Male,Not_married,Regional_Parties,Against,Other_Christian,Other,BLACK: of other origin,2018,26-45,32,22.149,0
139,South_East,Female,Living_as_married,Conservative,Against,No_religion,British,BLACK: of other origin,2018,18-25,24,20.383,0
140,North_West,Female,Married,Labour,For,Other_Christian,British,BLACK: of other origin,2018,46-65,53,26.534,1
142,North_East,Male,Married,None,Against,No_religion,British,BLACK: of other origin,2018,46-65,54,27.062,1
143,London,Male,Not_married,Labour,Against,Non_Christian,British,BLACK: of African origin,2018,46-65,48,22.149,0
144,Scotland,Female,Widowed,Labour,Against,No_religion,Scottish,BLACK: of other origin,2018,Above65,75,25.729,1
145,South_West,Female,Not_married,None,Against,Church_of_England,English,BLACK: of other origin,2018,46-65,59,17.373,0
146,South_East,Female,Not_married,Labour,For,No_religion,British,BLACK: of other origin,2018,18-25,18,20.383,0
148,South_West,Male,Living_as_married,Labour,Against,No_religion,British,BLACK: of other origin,2018,26-45,31,17.373,0
149,Yorkshire_and_The_Humber,Female,Married,Labour,For,No_religion,British,BLACK: of other origin,2018,26-45,33,23.363,1
150,South_East,Female,Separated_after_marrying,Liberal_Democrat,For,Other_Christian,European,BLACK: of other origin,2018,46-65,62,20.383,0
151,South_East,Male,Separated_after_marrying,Conservative,Neither,Other_Christian,British,ASIAN: of Indian origin,2018,46-65,62,20.383,0
152,South_East,Male,Married,None,For,No_religion,British,BLACK: of other origin,2018,26-45,27,20.383,0
154,East_Midlands,Male,Living_as_married,Conservative,Against,No_religion,English,BLACK: of other origin,2018,46-65,58,20.295,0
155,Yorkshire_and_The_Humber,Male,Married,None,For,No_religion,British,BLACK: of other origin,2018,26-45,28,23.363,1
157,London,Male,Not_married,Regional_Parties,Against,No_religion,English,BLACK: of other origin,2018,46-65,49,22.149,0
158,East_of_England,Male,Married,Conservative,For,Church_of_England,British,BLACK: of other origin,2018,Above65,82,17.699,0
159,South_East,Female,Married,Conservative,Against,Church_of_England,British,BLACK: of other origin,2018,46-65,59,20.383,0
164,West_Midlands,Male,Married,Liberal_Democrat,Neither,Non_Christian,British,BLACK: of Caribbean origin,2018,26-45,45,22.106,0
165,Scotland,Female,Not_married,Regional_Parties,Against,No_religion,Scottish,BLACK: of other origin,2018,26-45,44,25.729,1
166,East_Midlands,Female,Widowed,Other_Small_Parties,Against,No_religion,British,BLACK: of other origin,2018,46-65,63,20.295,0
167,Yorkshire_and_The_Humber,Female,Married,Conservative,Against,Other_Christian,English,BLACK: of other origin,2018,Above65,76,23.363,1
169,South_East,Male,Married,Labour,Against,Roman_Catholic,British,BLACK: of other origin,2018,46-65,52,20.383,0
170,London,Female,Not_married,Labour,For,No_religion,British,ASIAN: of Indian origin,2018,26-45,40,22.149,0
171,Yorkshire_and_The_Humber,Female,Married,None,For,No_religion,British,BLACK: of other origin,2018,46-65,58,23.363,1
172,Yorkshire_and_The_Humber,Male,Separated_after_marrying,Labour,For,No_religion,English,BLACK: of other origin,2018,26-45,45,23.363,1
175,East_of_England,Female,Widowed,None,For,Roman_Catholic,English,BLACK: of other origin,2018,Above65,81,17.699,0
176,South_East,Female,Married,Labour,For,Non_Christian,British,BLACK: of Caribbean origin,2018,26-45,33,20.383,0
177,South_East,Male,Living_as_married,Conservative,For,No_religion,English,BLACK: of other origin,2018,26-45,36,20.383,0
178,East_of_England,Male,Married,Conservative,For,Church_of_England,English,BLACK: of other origin,2018,26-45,42,17.699,0
179,North_West,Female,Separated_after_marrying,None,For,Other_Christian,Other,BLACK: of other origin,2018,46-65,55,26.534,1
180,Yorkshire_and_The_Humber,Male,Married,Other_Small_Parties,Against,Church_of_England,English,BLACK: of other origin,2018,Above65,66,23.363,1
181,South_East,Male,Married,Labour,Neither,No_religion,English,BLACK: of other origin,2018,Above65,66,20.383,0
183,West_Midlands,Male,Married,Conservative,For,Other_Christian,British,BLACK: of other origin,2018,46-65,64,22.106,0
184,London,Male,Married,Other_Small_Parties,For,No_religion,European,BLACK: of other origin,2018,26-45,39,22.149,0
187,North_East,Female,Separated_after_marrying,Labour,For,No_religion,British,BLACK: of other origin,2018,Above65,70,27.062,1
189,Scotland,Female,Married,Conservative,For,No_religion,Scottish,BLACK: of other origin,2018,Above65,78,25.729,1
190,South_West,Male,Widowed,Liberal_Democrat,For,No_religion,English,BLACK: of other origin,2018,Above65,79,17.373,0
192,North_East,Female,Living_as_married,Labour,For,No_religion,British,BLACK: of other origin,2018,26-45,31,27.062,1
193,Scotland,Male,Married,Conservative,For,No_religion,Scottish,BLACK: of other origin,2018,26-45,45,25.729,1
194,South_West,Female,Married,Conservative,For,Roman_Catholic,Other,BLACK: of other origin,2018,46-65,51,17.373,0
196,South_East,Female,Married,Liberal_Democrat,Against,Church_of_England,British,BLACK: of other origin,2018,Above65,66,20.383,0
197,North_West,Female,Married,Conservative,For,No_religion,English,BLACK: of other origin,2018,26-45,34,26.534,1
198,Yorkshire_and_The_Humber,Female,Separated_after_marrying,None,For,Roman_Catholic,British,BLACK: of other origin,2018,46-65,60,23.363,1
199,South_West,Female,Married,Conservative,For,No_religion,European,BLACK: of other origin,2018,46-65,47,17.373,0
200,South_East,Female,Not_married,Regional_Parties,For,Non_Christian,British,BLACK: of other origin,2018,46-65,51,20.383,0
201,East_of_England,Male,Married,Conservative,For,Roman_Catholic,English,BLACK: of other origin,2018,26-45,35,17.699,0
205,Yorkshire_and_The_Humber,Female,Separated_after_marrying,Labour,For,No_religion,British,BLACK: of other origin,2018,Above65,81,23.363,1
206,East_Midlands,Female,Widowed,Labour,For,No_religion,English,BLACK: of other origin,2018,Above65,72,20.295,0
207,South_East,Male,Married,Regional_Parties,For,Non_Christian,British,BLACK: of other origin,2018,Above65,70,20.383,0
209,Yorkshire_and_The_Humber,Male,Married,Labour,For,Non_Christian,British,BLACK: of Caribbean origin,2018,26-45,41,23.363,1
211,South_West,Male,Not_married,None,For,No_religion,None,ASIAN: of Pakistani origin,2018,26-45,32,17.373,0
212,North_West,Male,Living_as_married,Labour,Against,No_religion,English,BLACK: of other origin,2018,26-45,44,26.534,1
214,Yorkshire_and_The_Humber,Female,Separated_after_marrying,None,Neither,No_religion,British,BLACK: of other origin,2018,46-65,47,23.363,1
215,North_West,Male,Married,Labour,Neither,No_religion,British,BLACK: of other origin,2018,26-45,32,26.534,1
216,South_East,Male,Married,Labour,Against,No_religion,English,BLACK: of other origin,2018,46-65,58,20.383,0
220,East_of_England,Male,Married,Conservative,For,Church_of_England,English,BLACK: of other origin,2018,Above65,85,17.699,0
222,Scotland,Male,Married,Labour,For,Non_Christian,Other,BLACK: of African origin,2018,46-65,57,25.729,1
224,East_of_England,Female,Widowed,Conservative,Neither,No_religion,English,BLACK: of other origin,2018,Above65,82,17.699,0
227,North_West,Male,Not_married,None,Against,No_religion,English,BLACK: of other origin,2018,46-65,48,26.534,1
228,South_West,Male,Married,Liberal_Democrat,Against,Church_of_England,British,BLACK: of other origin,2018,26-45,30,17.373,0
230,Scotland,Male,Separated_after_marrying,Regional_Parties,Against,No_religion,Scottish,BLACK: of other origin,2018,26-45,27,25.729,1
231,Scotland,Female,Married,None,For,Non_Christian,Scottish,BLACK: of other origin,2018,46-65,49,25.729,1
232,North_West,Male,Separated_after_marrying,Conservative,For,Roman_Catholic,English,BLACK: of other origin,2018,Above65,67,26.534,1
233,South_East,Female,Married,Conservative,For,No_religion,British,BLACK: of other origin,2018,46-65,49,20.383,0
234,South_West,Male,Living_as_married,Other_Small_Parties,For,No_religion,English,BLACK: of other origin,2018,46-65,61,17.373,0
235,East_of_England,Female,Not_married,None,For,No_religion,English,BLACK: of other origin,2018,46-65,51,17.699,0
236,Scotland,Male,Living_as_married,Labour,Against,No_religion,Scottish,BLACK: of other origin,2018,26-45,27,25.729,1
237,Scotland,Male,Not_married,Labour,For,No_religion,British,BLACK: of other origin,2018,26-45,33,25.729,1
238,East_Midlands,Male,Married,Conservative,For,Church_of_England,Other,BLACK: of other origin,2018,Above65,86,20.295,0
239,Yorkshire_and_The_Humber,Female,Married,Labour,Against,No_religion,British,BLACK: of other origin,2018,46-65,55,23.363,1
240,London,Male,Living_as_married,Labour,For,No_religion,English,BLACK: of other origin,2018,26-45,33,22.149,0
241,East_Midlands,Female,Married,None,For,No_religion,British,BLACK: of other origin,2018,46-65,56,20.295,0
244,North_West,Female,Separated_after_marrying,Conservative,For,Church_of_England,British,BLACK: of other origin,2018,Above65,85,26.534,1
246,London,Male,Married,Liberal_Democrat,Neither,Other_Christian,Scottish,BLACK: of other origin,2018,26-45,39,22.149,0
247,North_West,Male,Married,Labour,Against,No_religion,British,BLACK: of other origin,2018,26-45,42,26.534,1
248,Scotland,Male,Living_as_married,Labour,For,Church_of_England,British,BLACK: of other origin,2018,46-65,55,25.729,1
249,Wales,Male,Married,Conservative,Against,No_religion,British,BLACK: of other origin,2018,46-65,51,25.188,1
250,Scotland,Male,Living_as_married,Labour,For,No_religion,Scottish,BLACK: of other origin,2018,46-65,52,25.729,1
251,East_Midlands,Female,Separated_after_marrying,None,Against,No_religion,British,BLACK: of other origin,2018,46-65,56,20.295,0
253,London,Female,Not_married,Labour,Against,Other_Christian,British,BLACK: of African origin,2018,Above65,66,22.149,0
255,South_East,Male,Not_married,Conservative,For,No_religion,European,BLACK: of other origin,2018,46-65,56,20.383,0
256,East_Midlands,Male,Living_as_married,Labour,For,No_religion,English,BLACK: of other origin,2018,26-45,37,20.295,0
257,South_East,Female,Married,Liberal_Democrat,Against,No_religion,European,BLACK: of other origin,2018,26-45,36,20.383,0
258,South_East,Female,Married,Conservative,Against,Church_of_England,British,BLACK: of other origin,2018,Above65,74,20.383,0
259,Yorkshire_and_The_Humber,Male,Separated_after_marrying,Conservative,For,Other_Christian,Other,BLACK: of other origin,2018,46-65,60,23.363,1
260,South_East,Female,Married,Liberal_Democrat,Against,Roman_Catholic,European,BLACK: of other origin,2018,46-65,55,20.383,0
261,East_Midlands,Male,Married,Labour,For,No_religion,British,BLACK: of other origin,2018,26-45,34,20.295,0
262,West_Midlands,Female,Married,Labour,Against,Non_Christian,English,BLACK: of other origin,2018,Above65,70,22.106,0
263,South_East,Female,Separated_after_marrying,None,Against,No_religion,British,BLACK: of other origin,2018,46-65,53,20.383,0
265,London,Female,Not_married,None,For,No_religion,British,BLACK: of Caribbean origin,2018,26-45,26,22.149,0
266,North_West,Male,Married,Labour,For,Non_Christian,British,BLACK: of Caribbean origin,2018,46-65,47,26.534,1
267,South_East,Male,Married,Conservative,For,No_religion,British,BLACK: of other origin,2018,26-45,44,20.383,0
268,South_West,Male,Widowed,None,For,No_religion,English,BLACK: of other origin,2018,Above65,70,17.373,0
269,Scotland,Male,Married,Regional_Parties,Against,Other_Christian,Scottish,BLACK: of other origin,2018,26-45,44,25.729,1
270,South_West,Female,Widowed,Conservative,Neither,Other_Christian,Other,BLACK: of other origin,2018,Above65,84,17.373,0
271,East_of_England,Male,Not_married,Labour,For,No_religion,British,BLACK: of other origin,2018,26-45,30,17.699,0
272,Yorkshire_and_The_Humber,Male,Married,Conservative,Against,Other_Christian,British,BLACK: of Caribbean origin,2018,Above65,73,23.363,1
273,South_West,Female,Married,Conservative,Neither,Church_of_England,British,BLACK: of other origin,2018,46-65,50,17.373,0
274,East_Midlands,Female,Married,Conservative,For,Other_Christian,English,BLACK: of other origin,2018,Above65,76,20.295,0
275,London,Male,Separated_after_marrying,Regional_Parties,Against,Roman_Catholic,European,BLACK: of other origin,2018,26-45,30,22.149,0
276,Yorkshire_and_The_Humber,Female,Married,Conservative,Neither,Roman_Catholic,British,BLACK: of Caribbean origin,2018,26-45,40,23.363,1
277,South_East,Female,Married,Conservative,For,No_religion,British,BLACK: of other origin,2018,46-65,52,20.383,0
278,North_West,Female,Married,Labour,For,Church_of_England,English,BLACK: of other origin,2018,Above65,67,26.534,1
280,East_of_England,Male,Not_married,Labour,Against,No_religion,English,BLACK: of other origin,2018,46-65,64,17.699,0
281,Yorkshire_and_The_Humber,Female,Living_as_married,Labour,Against,Other_Christian,British,BLACK: of other origin,2018,26-45,36,23.363,1
283,Yorkshire_and_The_Humber,Female,Married,Labour,Against,Roman_Catholic,British,BLACK: of other origin,2018,46-65,56,23.363,1
284,South_West,Female,Not_married,Labour,Against,No_religion,British,BLACK: of other origin,2018,46-65,47,17.373,0
285,London,Male,Married,Conservative,For,Roman_Catholic,British,BLACK: of other origin,2018,26-45,42,22.149,0
287,Wales,Female,Married,Labour,For,Roman_Catholic,Welsh,BLACK: of other origin,2018,46-65,50,25.188,1
291,Yorkshire_and_The_Humber,Male,Married,None,Against,Other_Christian,English,BLACK: of other origin,2018,46-65,62,23.363,1
292,North_West,Male,Living_as_married,None,Against,No_religion,British,BLACK: of other origin,2018,26-45,38,26.534,1
294,East_Midlands,Male,Married,Labour,For,No_religion,British,BLACK: of other origin,2018,26-45,42,20.295,0
295,Wales,Male,Living_as_married,Regional_Parties,For,No_religion,Welsh,BLACK: of other origin,2018,18-25,24,25.188,1
297,London,Female,Not_married,Labour,For,Non_Christian,British,BLACK: of African origin,2018,26-45,37,22.149,0
298,South_West,Male,Not_married,Conservative,For,Other_Christian,English,BLACK: of other origin,2018,46-65,62,17.373,0
299,Yorkshire_and_The_Humber,Male,Married,Labour,For,Non_Christian,British,BLACK: of Caribbean origin,2018,26-45,32,23.363,1
300,South_West,Female,Separated_after_marrying,Conservative,For,No_religion,British,BLACK: of other origin,2018,Above65,67,17.373,0
301,Yorkshire_and_The_Humber,Male,Married,None,Against,Church_of_England,British,BLACK: of African origin,2018,46-65,53,23.363,1
302,Yorkshire_and_The_Humber,Male,Separated_after_marrying,Labour,Against,Non_Christian,Other,BLACK: of Caribbean origin,2018,46-65,50,23.363,1
303,Scotland,Male,Married,Regional_Parties,For,Roman_Catholic,European,BLACK: of other origin,2018,46-65,56,25.729,1
306,Wales,Male,Married,Conservative,For,No_religion,British,BLACK: of other origin,2018,Above65,74,25.188,1
307,Scotland,Female,Married,Other_Small_Parties,For,Non_Christian,Other,BLACK: of Caribbean origin,2018,46-65,46,25.729,1
308,North_East,Female,Married,Labour,Against,No_religion,British,BLACK: of other origin,2018,Above65,76,27.062,1
310,South_East,Female,Married,Conservative,Against,No_religion,Other,BLACK: of Caribbean origin,2018,26-45,36,20.383,0
312,North_East,Female,Not_married,None,Neither,No_religion,British,BLACK: of other origin,2018,26-45,36,27.062,1
313,East_Midlands,Male,Married,Conservative,For,No_religion,English,BLACK: of other origin,2018,26-45,26,20.295,0
314,Scotland,Male,Married,None,Against,No_religion,Scottish,BLACK: of other origin,2018,46-65,47,25.729,1
316,Scotland,Female,Living_as_married,Conservative,For,Church_of_England,Scottish,BLACK: of other origin,2018,Above65,75,25.729,1
317,North_East,Female,Widowed,Labour,For,No_religion,British,BLACK: of other origin,2018,Above65,75,27.062,1
318,North_East,Male,Not_married,None,Against,No_religion,British,BLACK: of other origin,2018,26-45,32,27.062,1
319,Yorkshire_and_The_Humber,Female,Not_married,Labour,Against,No_religion,English,ASIAN: of Indian origin,2018,46-65,55,23.363,1
320,South_East,Male,Married,Liberal_Democrat,For,Other_Christian,British,BLACK: of other origin,2018,46-65,58,20.383,0
321,South_West,Female,Married,Conservative,Against,No_religion,English,BLACK: of other origin,2018,46-65,53,17.373,0
323,East_Midlands,Male,Not_married,Conservative,Against,Church_of_England,English,BLACK: of other origin,2018,Above65,80,20.295,0
325,South_East,Male,Married,Labour,Against,No_religion,British,BLACK: of other origin,2018,46-65,52,20.383,0
326,North_West,Female,Widowed,Labour,Against,No_religion,English,BLACK: of other origin,2018,Above65,78,26.534,1
327,South_East,Female,Living_as_married,Labour,Against,No_religion,British,BLACK: of other origin,2018,26-45,39,20.383,0
328,South_East,Male,Married,Conservative,For,Other_Christian,British,BLACK: of other origin,2018,46-65,48,20.383,0
329,West_Midlands,Male,Widowed,Labour,For,Church_of_England,English,BLACK: of other origin,2018,Above65,86,22.106,0
330,North_West,Female,Separated_after_marrying,Conservative,Against,Church_of_England,British,BLACK: of other origin,2018,46-65,56,26.534,1
331,Scotland,Female,Married,Labour,For,Roman_Catholic,Scottish,BLACK: of other origin,2018,46-65,57,25.729,1
332,West_Midlands,Female,Not_married,Other_Small_Parties,For,Other_Christian,English,BLACK: of other origin,2018,Above65,87,22.106,0
